DATAFLOW,AUDST,BASE_PER,FREQ,MEASURE_RN,REPYEAREND,REPYEARSTART,WPI_COM_CLS_RN,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1986,1985,WPI01,1986-03-31,IX,4.5
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1986,1985,WPI0101,1986-03-31,IX,0.1
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1986,1985,WPI010101,1986-03-31,IX,1.7
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1986,1985,WPI010102,1986-03-31,IX,-3.3
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1986,1985,WPI0102,1986-03-31,IX,10.7
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1986,1985,WPI0103,1986-03-31,IX,6.0
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1986,1985,WPI01,1986-03-31,IX,125.4
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1986,1985,WPI0101,1986-03-31,IX,125.7
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1986,1985,WPI010101,1986-03-31,IX,134.1
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1986,1985,WPI010102,1986-03-31,IX,120.4
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1986,1985,WPI0102,1986-03-31,IX,129.9
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1986,1985,WPI0103,1986-03-31,IX,124.5
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1987,1986,WPI01,1987-03-31,IX,5.8
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1987,1986,WPI0101,1987-03-31,IX,9.1
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1987,1986,WPI010101,1987-03-31,IX,10.2
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1987,1986,WPI010102,1987-03-31,IX,11.3
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1987,1986,WPI0102,1987-03-31,IX,6.7
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1987,1986,WPI0103,1987-03-31,IX,3.7
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1987,1986,WPI01,1987-03-31,IX,132.7
