# Combined total liabilities of Centre and state governments, % of GDP — RBI, Database on Indian Economy (fiscal years ending March)
year,combined_liabilities_pct_gdp
1986,60.51
1987,64.85
1988,68.15
1989,67.7
1990,70.06
1991,68.85
1992,72.89
1993,72.01
1994,72.39
1995,70.04
1996,67.28
1997,64.37
1998,66.29
1999,67.11
2000,70.47
2001,73.67
2002,78.79
2003,82.86
2004,83.23
2005,82.13
2006,79.07
2007,74.66
2008,71.44
2009,72.21
2010,70.6
2011,65.6
2012,67.36
2013,66.65
2014,67.06
2015,66.58
2016,68.53
2017,68.77
2018,69.57
2019,70.53
2020,75.12
2021,89.24
2022,84.23
2023,82.88
2024,82.14
2025,81.13
2026,81.85
